Date,Linalg norm
2020/05/18/12/15/27,0.4022065541416841
2020/05/18/12/15/28,0.3930157270955359
2020/05/18/12/15/28,0.3939235660740026
2020/05/18/12/15/29,0.3907274008782877
2020/05/18/12/15/29,0.3999274527763125
2020/05/18/12/15/30,0.4135853672970461
2020/05/18/12/15/30,0.4055546836742059
2020/05/18/12/15/31,0.4149457493435279
2020/05/18/12/15/31,0.3986827058781871
2020/05/18/12/15/32,0.3795772507233139
2020/05/18/12/15/32,0.39906655690307297
2020/05/18/12/15/33,0.4170862190960941
2020/05/18/12/15/33,0.4131155819751991
2020/05/18/12/15/33,0.4069201619728538
2020/05/18/12/15/34,0.4152995615411997
2020/05/18/12/15/34,0.39436046591103774
2020/05/18/12/15/35,0.4195538793765153
2020/05/18/12/15/35,0.3996350562434978
2020/05/18/12/15/36,0.40163791644275376
2020/05/18/12/15/36,0.4049135841932412
2020/05/18/12/15/37,0.3877753474752149
2020/05/18/12/15/37,0.3904878812527306
2020/05/18/12/15/38,0.38850877780464377
2020/05/18/12/15/38,0.4253341404663232
2020/05/18/12/15/39,0.3975761348995001
2020/05/18/12/15/39,0.3998862739866809
2020/05/18/12/15/40,0.4220036573544434
2020/05/18/12/15/40,0.4258803378151879
2020/05/18/12/15/41,0.4298166496693777
2020/05/18/12/15/41,0.400536352159278
2020/05/18/12/15/42,0.4327964427939776
2020/05/18/12/15/42,0.3926381412840447
2020/05/18/12/15/42,0.3973638552590528
2020/05/18/12/15/43,0.4146712627653412
2020/05/18/12/15/43,0.39946796549729374
2020/05/18/12/15/44,0.3964281885286605
2020/05/18/12/15/44,0.3863154903729361
2020/05/18/12/15/45,0.3966285451451084
2020/05/18/12/15/45,0.4176444685504507
2020/05/18/12/15/46,0.4016865913610199
2020/05/18/12/15/46,0.39617454979177774
2020/05/18/12/15/47,0.4028741474974484
2020/05/18/12/15/47,0.4007883082535145
2020/05/18/12/15/48,0.4212019781910232
2020/05/18/12/15/48,0.3854574404181277
2020/05/18/12/15/48,0.4092291629626551
2020/05/18/12/15/49,0.3895971520844957
2020/05/18/12/15/49,0.3897570684724009
2020/05/18/12/15/50,0.3847892299876351
2020/05/18/12/15/51,0.4081669218056879
2020/05/18/12/15/55,0.5020751671845164
2020/05/18/12/15/55,0.4374380824202713
2020/05/18/12/15/56,0.43361792486393336
2020/05/18/12/16/27,0.4228737807605644
2020/05/18/12/16/28,0.4357236456529656
2020/05/18/12/16/28,0.4610334573790839
2020/05/18/12/16/29,0.4559370954654774
2020/05/18/12/16/29,0.4354400653085848
2020/05/18/12/16/35,0.4513556438715156
2020/05/18/12/16/36,0.4682800552877373
2020/05/18/12/16/39,0.4443999897952482
2020/05/18/12/16/40,0.4750031501134024
2020/05/18/12/16/40,0.4580876906892345
2020/05/18/12/16/41,0.4496128737739912
2020/05/18/12/16/41,0.427986325206788
2020/05/18/12/16/42,0.4280395316869986
2020/05/18/12/16/42,0.4164158320516296
2020/05/18/12/16/43,0.4390743025844941
2020/05/18/12/16/43,0.4652570194208574
2020/05/18/12/16/48,0.494947617057062
2020/05/18/12/16/49,0.4985668074386133
2020/05/18/12/17/47,0.476999705304991
2020/05/18/12/17/47,0.4332566943309102
2020/05/18/12/17/48,0.4827980141152929
2020/05/18/12/17/55,0.3964912665924168
2020/05/18/12/17/55,0.438085033924767
2020/05/18/12/17/56,0.4817284998004413
2020/05/18/12/18/01,0.6105465891057151
2020/05/18/12/18/02,0.5974330263157382
2020/05/18/12/18/02,0.525021843267071
2020/05/18/12/18/03,0.5929724739856885
